nome,sexo,instituicao,uf,nivel_bolsa,area_atuacao,ano_conclusao_doutorado,url,google_scholar,vigencia_inicio,vigencia_termino,situacao
Heder Soares Bernardino,Indefinido,UFJF,MG,PQ-C,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Heder+Soares+Bernardino,,01/08/2025,31/07/2028,Em folha de pagamento
Heitor Soares Ramos Filho,Masculino,UFMG,MG,PQ-C,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Heitor+Soares+Ramos+Filho,,01/08/2025,31/07/2028,Em folha de pagamento
Helder May Nunes da Silva Oliveira,Masculino,UFABC,SP,PQ-2,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Helder+May+Nunes+da+Silva+Oliveira,,01/03/2024,31/07/2027,Em folha de pagamento
Helio Côrtes Vieira Lopes,Masculino,PUC-Rio,RJ,PQ-B,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Helio+Côrtes+Vieira+Lopes,,01/08/2025,31/07/2029,Em folha de pagamento
Hélio Pedrini,Masculino,UNICAMP,SP,PQ-1C,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Hélio+Pedrini,,01/03/2023,31/07/2027,Em folha de pagamento
Henrique Coelho Fernandes,Masculino,UFU,MG,PQ-2,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Henrique+Coelho+Fernandes,,01/03/2024,31/07/2027,Em folha de pagamento
Henrique Cota de Freitas,Masculino,PUC Minas,MG,PQ-2,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Henrique+Cota+de+Freitas,,01/03/2023,31/07/2026,Suspenso
Horacio Antonio Braga Fernandes de Oliveira,Masculino,UFAM,AM,PQ-C,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Horacio+Antonio+Braga+Fernandes+de+Oliveira,,01/08/2025,31/07/2028,Em folha de pagamento
Hugo Valadares Siqueira,Masculino,UTFPR,PR,PQ-2,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Hugo+Valadares+Siqueira,,01/03/2024,31/07/2027,Em folha de pagamento
Igor Machado Coelho,Masculino,UFF,RJ,PQ-C,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Igor+Machado+Coelho,,01/08/2025,31/07/2028,Em folha de pagamento
Isabel Cristina Mello Rosseti,Feminino,UFF,RJ,PQ-C,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Isabel+Cristina+Mello+Rosseti,,01/08/2025,31/07/2028,Em folha de pagamento
Italo Fernando Scotá Cunha,Masculino,UFMG,MG,PQ-C,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Italo+Fernando+Scotá+Cunha,,01/08/2025,31/07/2028,Em folha de pagamento
Ivan do Carmo Machado,Masculino,UFBA,BA,PQ-2,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Ivan+do+Carmo+Machado,,01/03/2024,31/07/2027,Em folha de pagamento
Jacob Scharcanski,Masculino,UFRGS,RS,PQ-1C,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Jacob+Scharcanski,,01/03/2022,31/07/2026,Em folha de pagamento
Jaelson Freire Brelaz de Castro,Indefinido,UFPE,PE,PQ-2,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Jaelson+Freire+Brelaz+de+Castro,,01/03/2023,31/07/2026,Em folha de pagamento
Jamilson Ramalho Dantas,Indefinido,UFPE,PE,PQ-2,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Jamilson+Ramalho+Dantas,,01/03/2024,31/07/2027,Em folha de pagamento
Javam de Castro Machado,Indefinido,UFC,CE,PQ-C,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Javam+de+Castro+Machado,,01/08/2025,31/07/2028,Em folha de pagamento
Jayme Luiz Szwarcfiter,Masculino,UERJ,RJ,PQ-1A,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Jayme+Luiz+Szwarcfiter,,01/03/2022,31/07/2027,Suspenso
Jean Paul Barddal,Masculino,PUC/PR,PR,PQ-C,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Jean+Paul+Barddal,,01/08/2025,31/07/2028,Em folha de pagamento
Jeferson Campos Nobre,Indefinido,UFRGS,RS,PQ-2,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Jeferson+Campos+Nobre,,01/03/2024,31/07/2027,Em folha de pagamento
Joao Batista Florindo,Indefinido,UNICAMP,SP,PQ-2,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Joao+Batista+Florindo,,01/03/2023,31/07/2026,Em folha de pagamento
João Carlos de Oliveira Souza,Masculino,UFPI,PI,PQ-2,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=João+Carlos+de+Oliveira+Souza,,01/03/2024,31/07/2027,Em folha de pagamento
João Dallyson Sousa de Almeida,Masculino,UFMA,MA,PQ-C,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=João+Dallyson+Sousa+de+Almeida,,01/08/2025,31/07/2028,Em folha de pagamento
João Eduardo Ferreira,Masculino,USP,SP,PQ-C,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=João+Eduardo+Ferreira,,01/08/2025,31/07/2028,Em folha de pagamento
João Luiz Dihl Comba,Masculino,UFRGS,RS,PQ-1C,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=João+Luiz+Dihl+Comba,,01/03/2024,31/07/2028,Em folha de pagamento
João Paulo Andrade Almeida,Masculino,UFES,ES,PQ-2,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=João+Paulo+Andrade+Almeida,,01/03/2024,31/07/2027,Em folha de pagamento
João Paulo Papa,Masculino,UNESP,SP,PQ-1D,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=João+Paulo+Papa,,01/03/2022,31/07/2028,Em folha de pagamento
Joaquim Bento Cavalcante Neto,Masculino,UFC,CE,PQ-2,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Joaquim+Bento+Cavalcante+Neto,,01/03/2023,31/07/2026,Em folha de pagamento
Joel Luis Carbonera,Masculino,UFRGS,RS,PQ-C,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Joel+Luis+Carbonera,,01/08/2025,31/07/2028,Em folha de pagamento
Jomi Fred Hübner,Indefinido,UFSC,SE,PQ-C,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Jomi+Fred+Hübner,,01/08/2025,31/07/2028,Em folha de pagamento
Jorge Luis Poco-Medina,Masculino,FGV,RJ,PQ-2,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Jorge+Luis+Poco-Medina,,01/03/2023,31/07/2026,Em folha de pagamento
Jose Alberto Rodrigues Pereira Sardinha,Masculino,PUC-Rio,RJ,PQ-C,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Jose+Alberto+Rodrigues+Pereira+Sardinha,,01/08/2025,31/07/2028,Em folha de pagamento
José Antonio Fernandes de Macêdo,Masculino,UFC,CE,PQ-C,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=José+Antonio+Fernandes+de+Macêdo,,01/08/2025,31/07/2028,Em folha de pagamento
José Augusto Miranda Nacif,Masculino,UFV,MG,PQ-2,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=José+Augusto+Miranda+Nacif,,01/03/2024,31/07/2027,Em folha de pagamento
José Fernando Rodrigues Júnior,Masculino,USP,SP,PQ-C,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=José+Fernando+Rodrigues+Júnior,,01/08/2025,31/07/2028,Em folha de pagamento
José Ferreira de Rezende,Masculino,UFRJ,RJ,PQ-1D,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=José+Ferreira+de+Rezende,,01/03/2022,31/07/2026,Em folha de pagamento
Jose Maria Nazar David,Masculino,UFJF,MG,PQ-C,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Jose+Maria+Nazar+David,,01/08/2025,31/07/2028,Em folha de pagamento
Jose Neuman de Souza,Masculino,UFC,CE,PQ-1C,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Jose+Neuman+de+Souza,,01/03/2022,31/07/2026,Em folha de pagamento
José Palazzo Moreira de Oliveira,Masculino,UFRGS,RS,PQ-SR,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=José+Palazzo+Moreira+de+Oliveira,,01/03/2023,31/07/2028,Em folha de pagamento
José Viterbo Filho,Masculino,UFF,RJ,PQ-C,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=José+Viterbo+Filho,,01/08/2025,31/07/2028,Em folha de pagamento
Judith Kelner,Feminino,UFPE,PE,PQ-1D,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Judith+Kelner,,01/03/2024,31/07/2028,Em folha de pagamento
Juliano Araujo Wickboldt,Masculino,UFRGS,RS,PQ-C,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Juliano+Araujo+Wickboldt,,01/08/2025,31/07/2028,Em folha de pagamento
Julio Cesar dos Reis,Masculino,UNICAMP,SP,PQ-C,Ciencia da Computacao,,https://buscatextual.cnpq.br/buscatextual/busca.do?metodo=apresentar&termo=Julio+Cesar+dos+Reis,,01/08/2025,31/07/2028,Em folha de pagamento
